t(s); x(m); y(m); z(m)
5.92;1.284087999;-1.643340911;0.986685944
5.93;1.288817824;-1.616825767;0.983445205
5.94;1.293278797;-1.59015409;0.979855052
5.95;1.297469594;-1.56332968;0.975916762
5.96;1.301388936;-1.536356355;0.971631733
5.97;1.30503559;-1.509237956;0.967001488
5.98;1.308408368;-1.48197834;0.962027672
5.99;1.31150613;-1.454581384;0.956712052
6;1.31432778;-1.427050983;0.951056516
6.01;1.316872269;-1.399391049;0.945063075
6.02;1.319138595;-1.37160551;0.938733858
6.03;1.321125801;-1.343698311;0.932071112
6.04;1.32283298;-1.315673411;0.925077207
6.05;1.324259269;-1.287534787;0.917754626
6.06;1.325403853;-1.259286426;0.910105971
6.07;1.326265965;-1.230932332;0.902133959
6.08;1.326844886;-1.202476521;0.893841424
6.09;1.327139943;-1.173923021;0.885231311
6.1;1.327150512;-1.145275872;0.87630668
6.11;1.326876016;-1.116539125;0.867070701
6.12;1.326315927;-1.087716841;0.857526656
6.13;1.325469764;-1.058813094;0.847677936
6.14;1.324337096;-1.029831962;0.83752804
6.15;1.322917537;-1.000777537;0.827080574
6.16;1.321210754;-0.971653915;0.816339251
6.17;1.319216457;-0.942465202;0.805307886
6.18;1.31693441;-0.91321551;0.793990399
6.19;1.314364422;-0.883908957;0.782390811
6.2;1.311506351;-0.854549666;0.770513243
6.21;1.308360105;-0.825141767;0.758361915
6.22;1.304925639;-0.79568939;0.745941145
6.23;1.30120296;-0.766196674;0.733255346
6.24;1.297192119;-0.736667757;0.720309025
6.25;1.292893219;-0.707106781;0.707106781
6.26;1.288306411;-0.67751789;0.693653306
6.27;1.283431896;-0.647905228;0.679953379
6.28;1.27826992;-0.61827294;0.666011867
6.29;1.272820783;-0.588625172;0.651833725
6.3;1.267084829;-0.558966067;0.63742399
6.31;1.261062454;-0.529299768;0.62278778
6.32;1.254754101;-0.499630415;0.607930298
6.33;1.248160261;-0.469962147;0.59285682
6.34;1.241281476;-0.440299098;0.577572703
6.35;1.234118333;-0.410645398;0.562083378
6.36;1.226671471;-0.381005174;0.546394347
6.37;1.218941574;-0.351382547;0.530511184
6.38;1.210929377;-0.321781631;0.514439534
6.39;1.202635662;-0.292206535;0.498185105
6.4;1.194061259;-0.262661361;0.481753674
6.41;1.185207045;-0.233150201;0.465151078
6.42;1.176073946;-0.203677141;0.448383216
6.43;1.166662935;-0.174246259;0.431456046
6.44;1.156975034;-0.144861619;0.414375581
6.45;1.14701131;-0.115527279;0.397147891
6.46;1.136772879;-0.086247285;0.379779096
6.47;1.126260904;-0.057025671;0.362275367
6.48;1.115476593;-0.027866458;0.344642923
6.49;1.104421204;0.001226343;0.32688803
6.5;1.093096038;0.030248736;0.309016994
6.51;1.081502446;0.05919674;0.291036167
6.52;1.069641821;0.088066386;0.272951936
6.53;1.057515606;0.116853721;0.254770726
6.54;1.045125287;0.145554808;0.236498997
6.55;1.032472398;0.174165728;0.218143241
6.56;1.019558514;0.202682575;0.199709981
6.57;1.006385261;0.231101463;0.181205764
6.58;0.992954305;0.259418525;0.162637165
6.59;0.979267359;0.28762991;0.144010783
6.6;0.965326179;0.315731788;0.125333234
6.61;0.951132567;0.343720349;0.106611154
6.62;0.936688367;0.371591802;0.087851197
6.63;0.921995466;0.399342379;0.069060026
6.64;0.907055797;0.426968331;0.050244318
6.65;0.891871333;0.454465932;0.031410759
6.66;0.876444092;0.481831481;0.01256604
6.67;0.860776133;0.509061298;-0.006283144
6.68;0.844869558;0.536151726;-0.025130095
6.69;0.828726509;0.563099134;-0.043968118
6.7;0.812349171;0.589899916;-0.06279052
6.71;0.79573977;0.61655049;-0.081590612
6.72;0.778900572;0.643047301;-0.100361715
6.73;0.761833884;0.66938682;-0.11909716
6.74;0.744542053;0.695565546;-0.137790291
6.75;0.727027465;0.721580005;-0.156434465
6.76;0.709292546;0.74742675;-0.175023059
6.77;0.691339761;0.773102364;-0.193549468
6.78;0.673171613;0.79860346;-0.21200711
6.79;0.654790644;0.823926677;-0.230389427
6.8;0.636199433;0.849068688;-0.248689887
6.81;0.617400597;0.874026195;-0.266901989
6.82;0.598396791;0.898795931;-0.285019262
6.83;0.579190703;0.92337466;-0.30303527
6.84;0.559785062;0.947759181;-0.32094361
6.85;0.540182629;0.971946321;-0.33873792
6.86;0.520386202;0.995932945;-0.356411879
6.87;0.500398615;1.019715947;-0.373959206
6.88;0.480222733;1.043292259;-0.391373667
6.89;0.459861458;1.066658844;-0.408649075
6.9;0.439317726;1.089812702;-0.425779292
6.91;0.418594504;1.112750868;-0.442758231
6.92;0.397694792;1.135470412;-0.459579861
6.93;0.376621625;1.157968441;-0.476238204
6.94;0.355378065;1.180242099;-0.492727342
6.95;0.333967211;1.202288565;-0.509041416
6.96;0.312392187;1.224105059;-0.52517463
6.97;0.290656151;1.245688835;-0.541121252
6.98;0.26876229;1.267037187;-0.556875616
6.99;0.246713821;1.28814745;-0.572432126
7;0.224513988;1.309016994;-0.587785252
7.01;0.202166065;1.329643232;-0.602929542
7.02;0.179673354;1.350023614;-0.617859613
7.03;0.157039181;1.370155632;-0.632570162
7.04;0.134266904;1.390036818;-0.647055962
7.05;0.111359904;1.409664745;-0.661311865
7.06;0.088321588;1.429037028;-0.675332808
7.07;0.065155389;1.448151323;-0.689113808
7.08;0.041864764;1.467005328;-0.70264997
7.09;0.018453195;1.485596784;-0.715936483
7.1;-0.005075813;1.503923473;-0.728968627
7.11;-0.028718732;1.521983222;-0.741741773
7.12;-0.052472012;1.539773901;-0.754251381
7.13;-0.076332079;1.557293422;-0.766493007
7.14;-0.100295339;1.574539742;-0.778462302
7.15;-0.124358179;1.591510864;-0.790155012
7.16;-0.148516962;1.608204831;-0.801566985
7.17;-0.172768033;1.624619736;-0.812694164
7.18;-0.197107719;1.640753714;-0.823532598
7.19;-0.221532326;1.656604946;-0.834078434
7.2;-0.246038145;1.672171657;-0.844327926
7.21;-0.270621448;1.687452121;-0.854277432
7.22;-0.295278488;1.702444656;-0.863923417
7.23;-0.320005506;1.717147627;-0.873262455
7.24;-0.344798725;1.731559445;-0.882291226
7.25;-0.369654352;1.745678568;-0.891006524
7.26;-0.394568582;1.7595035;-0.899405252
7.27;-0.419537594;1.773032795;-0.907484425
7.28;-0.444557555;1.786265052;-0.915241173
7.29;-0.469624618;1.799198919;-0.92267274
7.3;-0.494734927;1.811833089;-0.929776486
7.31;-0.519884611;1.824166306;-0.936549887
7.32;-0.545069789;1.836197361;-0.942990536
7.33;-0.570286571;1.847925093;-0.949096145
7.34;-0.595531056;1.85934839;-0.954864545
7.35;-0.620799335;1.870466188;-0.960293686
7.36;-0.646087491;1.881277473;-0.965381639
7.37;-0.671391598;1.891781277;-0.970126596
7.38;-0.696707722;1.901976684;-0.974526873
7.39;-0.722031925;1.911862826;-0.978580904
7.4;-0.747360261;1.921438883;-0.982287251
7.41;-0.77268878;1.930704087;-0.985644595
7.42;-0.798013527;1.939657716;-0.988651745
7.43;-0.823330542;1.9482991;-0.991307631
7.44;-0.848635862;1.956627618;-0.993611311
7.45;-0.873925521;1.964642698;-0.995561965
7.46;-0.899195553;1.972343818;-0.9971589
7.47;-0.924441987;1.979730506;-0.99840155
7.48;-0.949660853;1.986802339;-0.999289473
7.49;-0.974848181;1.993558944;-0.999822352
7.5;-1;2;-1
7.51;-1.025112341;2.006125232;-0.999822352
7.52;-1.050181235;2.011934418;-0.999289473
7.53;-1.075202718;2.017427385;-0.99840155
7.54;-1.100172826;2.022604009;-0.9971589
7.55;-1.125087599;2.027464216;-0.995561965
7.56;-1.149943084;2.032007983;-0.993611311
7.57;-1.174735328;2.036235337;-0.991307631
7.58;-1.199460386;2.040146352;-0.988651745
7.59;-1.22411432;2.043741156;-0.985644595
7.6;-1.248693196;2.047019922;-0.982287251
7.61;-1.273193088;2.049982877;-0.978580904
7.62;-1.297610079;2.052630295;-0.974526873
7.63;-1.321940258;2.0549625;-0.970126596
7.64;-1.346179727;2.056979866;-0.965381639
7.65;-1.370324594;2.058682815;-0.960293686
7.66;-1.394370978;2.06007182;-0.954864545
7.67;-1.41831501;2.061147401;-0.949096145
7.68;-1.442152832;2.06191013;-0.942990536
7.69;-1.465880599;2.062360626;-0.936549887
7.7;-1.489494476;2.062499556;-0.929776486
7.71;-1.512990644;2.062327637;-0.92267274
7.72;-1.536365297;2.061845634;-0.915241173
7.73;-1.559614644;2.061054361;-0.907484425
7.74;-1.582734908;2.059954679;-0.899405252
7.75;-1.605722329;2.058547498;-0.891006524
7.76;-1.628573164;2.056833775;-0.882291226
7.77;-1.651283684;2.054814516;-0.873262455
7.78;-1.673850181;2.052490774;-0.863923417
7.79;-1.696268962;2.049863649;-0.854277432
7.8;-1.718536356;2.046934286;-0.844327926
7.81;-1.740648708;2.043703882;-0.834078434
7.82;-1.762602386;2.040173675;-0.823532598
7.83;-1.784393776;2.036344954;-0.812694164
7.84;-1.806019286;2.032219051;-0.801566985
7.85;-1.827475345;2.027797346;-0.790155012
7.86;-1.848758406;2.023081264;-0.778462302
7.87;-1.869864943;2.018072275;-0.766493007
7.88;-1.890791454;2.012771895;-0.754251381
7.89;-1.911534461;2.007181684;-0.741741773
7.9;-1.932090509;2.001303247;-0.728968627
7.91;-1.952456171;1.995138235;-0.715936483
7.92;-1.972628042;1.988688341;-0.70264997
7.93;-1.992602746;1.981955302;-0.689113808
7.94;-2.012376932;1.974940899;-0.675332808
7.95;-2.031947276;1.967646957;-0.661311865
7.96;-2.051310482;1.960075343;-0.647055962
7.97;-2.070463285;1.952227965;-0.632570162
7.98;-2.089402443;1.944106777;-0.617859613
7.99;-2.108124748;1.935713771;-0.602929542
8;-2.126627021;1.927050983;-0.587785252
8.01;-2.144906111;1.918120489;-0.572432126
8.02;-2.1629589;1.908924407;-0.556875616
8.03;-2.180782301;1.899464894;-0.541121252
8.04;-2.198373258;1.889744148;-0.52517463
8.05;-2.215728748;1.879764406;-0.509041416
8.06;-2.232845781;1.869527945;-0.492727342
8.07;-2.249721398;1.859037082;-0.476238204
8.08;-2.266352677;1.84829417;-0.459579861
8.09;-2.282736729;1.837301601;-0.442758231
8.1;-2.298870698;1.826061808;-0.425779292
8.11;-2.314751765;1.814577256;-0.408649075
8.12;-2.330377146;1.80285045;-0.391373667
8.13;-2.345744094;1.790883932;-0.373959206
8.14;-2.360849897;1.778680278;-0.356411879
8.15;-2.375691881;1.766242102;-0.33873792
8.16;-2.390267407;1.753572052;-0.32094361
8.17;-2.404573878;1.74067281;-0.30303527
8.18;-2.418608732;1.727547092;-0.285019262
8.19;-2.432369447;1.714197652;-0.266901989
8.2;-2.445853538;1.700627271;-0.248689887
8.21;-2.459058563;1.686838768;-0.230389427
8.22;-2.471982116;1.672834993;-0.21200711
8.23;-2.484621834;1.658618826;-0.193549468
8.24;-2.496975394;1.644193182;-0.175023059
8.25;-2.509040513;1.629561004;-0.156434465
8.26;-2.52081495;1.614725267;-0.137790291
8.27;-2.532296507;1.599688976;-0.11909716
8.28;-2.543483025;1.584455165;-0.100361715
8.29;-2.55437239;1.569026897;-0.081590612
8.3;-2.564962531;1.553407264;-0.06279052
8.31;-2.575251418;1.537599386;-0.043968118
8.32;-2.585237067;1.521606409;-0.025130095
8.33;-2.594917536;1.505431509;-0.006283144
8.34;-2.604290927;1.489077885;0.01256604
8.35;-2.613355387;1.472548764;0.031410759
8.36;-2.622109109;1.455847398;0.050244318
8.37;-2.630550329;1.438977064;0.069060026
8.38;-2.63867733;1.421941062;0.087851197
8.39;-2.646488439;1.404742718;0.106611154
8.4;-2.65398203;1.387385378;0.125333234
8.41;-2.661156524;1.369872414;0.144010783
8.42;-2.668010385;1.352207218;0.162637165
8.43;-2.674542128;1.334393204;0.181205764
8.44;-2.680750313;1.316433808;0.199709981
8.45;-2.686633546;1.298332483;0.218143241
8.46;-2.692190483;1.280092707;0.236498997
8.47;-2.697419825;1.261717972;0.254770726
8.48;-2.702320323;1.243211792;0.272951936
8.49;-2.706890774;1.224577699;0.291036167
8.5;-2.711130027;1.205819241;0.309016994
8.51;-2.715036975;1.186939983;0.32688803
8.52;-2.718610563;1.167943508;0.344642923
8.53;-2.721849783;1.148833413;0.362275367
8.54;-2.724753676;1.12961331;0.379779096
8.55;-2.727321335;1.110286828;0.397147891
8.56;-2.729551898;1.090857607;0.414375581
8.57;-2.731444556;1.071329302;0.431456046
8.58;-2.732998549;1.051705581;0.448383216
8.59;-2.734213165;1.031990123;0.465151078
8.6;-2.735087744;1.012186619;0.481753674
8.61;-2.735621676;0.992298771;0.498185105
8.62;-2.735814399;0.972330292;0.514439534
8.63;-2.735665405;0.952284904;0.530511184
8.64;-2.735174232;0.932166337;0.546394347
8.65;-2.734340472;0.911978332;0.562083378
8.66;-2.733163766;0.891724637;0.577572703
8.67;-2.731643807;0.871409006;0.59285682
8.68;-2.729780336;0.851035201;0.607930298
8.69;-2.727573147;0.83060699;0.62278778
8.7;-2.725022084;0.810128145;0.63742399
8.71;-2.722127043;0.789602445;0.651833725
8.72;-2.71888797;0.769033671;0.666011867
8.73;-2.715304862;0.74842561;0.679953379
8.74;-2.711377766;0.72778205;0.693653306
8.75;-2.707106781;0.707106781;0.707106781
8.76;-2.702492058;0.686403597;0.720309025
8.77;-2.697533798;0.665676292;0.733255346
8.78;-2.692232251;0.64492866;0.745941145
8.79;-2.686587722;0.624164494;0.758361915
8.8;-2.680600563;0.603387588;0.770513243
8.81;-2.674271179;0.582601735;0.782390811
8.82;-2.667600026;0.561810724;0.793990399
8.83;-2.66058761;0.541018343;0.805307886
8.84;-2.653234488;0.520228376;0.816339251
8.85;-2.645541268;0.499444603;0.827080574
8.86;-2.637508607;0.478670799;0.83752804
8.87;-2.629137215;0.457910737;0.847677936
8.88;-2.62042785;0.437168181;0.857526656
8.89;-2.611381322;0.416446889;0.867070701
8.9;-2.601998491;0.395750614;0.87630668
8.91;-2.592280267;0.375083099;0.885231311
8.92;-2.582227608;0.354448082;0.893841424
8.93;-2.571841526;0.333849289;0.902133959
8.94;-2.561123079;0.313290438;0.910105971
8.95;-2.550073376;0.292775238;0.917754626
8.96;-2.538693575;0.272307386;0.925077207
8.97;-2.526984885;0.251890569;0.932071112
8.98;-2.514948561;0.23152846;0.938733858
8.99;-2.50258591;0.211224723;0.945063075
9;-2.489898285;0.190983006;0.951056516
9.01;-2.47688709;0.170806945;0.956712052
9.02;-2.463553775;0.150700162;0.962027672
9.03;-2.449899841;0.130666263;0.967001488
9.04;-2.435926834;0.11070884;0.971631733
9.05;-2.42163635;0.090831469;0.975916762
9.06;-2.40703003;0.071037708;0.979855052
9.07;-2.392109565;0.0513311;0.983445205
9.08;-2.376876692;0.031715169;0.986685944
9.09;-2.361333193;0.01219342;0.989576119
9.1;-2.3454809;-0.007230658;0.992114701
9.11;-2.329321687;-0.026553597;0.99430079
9.12;-2.312857478;-0.04577195;0.996133609
9.13;-2.29609024;-0.06488229;0.997612506
9.14;-2.279021987;-0.083881208;0.998736957
9.15;-2.261654776;-0.102765321;0.99950656
9.16;-2.243990711;-0.121531266;0.999921044
9.17;-2.22603194;-0.140175702;0.999980261
9.18;-2.207780654;-0.158695313;0.999684189
9.19;-2.189239089;-0.177086805;0.999032935
9.2;-2.170409525;-0.19534691;0.998026728
9.21;-2.151294284;-0.213472383;0.996665928
9.22;-2.131895731;-0.231460007;0.994951017
9.23;-2.112216273;-0.249306587;0.992882605
9.24;-2.092258362;-0.267008958;0.990461426
9.25;-2.072024488;-0.28456398;0.987688341
9.26;-2.051517186;-0.301968542;0.984564335
9.27;-2.030739028;-0.319219559;0.981090517
9.28;-2.009692631;-0.336313975;0.977268124
9.29;-1.988380649;-0.353248763;0.973098511
9.3;-1.966805777;-0.370020927;0.968583161
9.31;-1.94497075;-0.386627499;0.963723678
9.32;-1.922878342;-0.403065541;0.958521789
9.33;-1.900531366;-0.419332147;0.952979342
9.34;-1.87793267;-0.435424444;0.947098305
9.35;-1.855085145;-0.451339586;0.940880769
9.36;-1.831991717;-0.467074764;0.934328942
9.37;-1.808655347;-0.4826272;0.927445153
9.38;-1.785079035;-0.497994148;0.920231847
9.39;-1.761265817;-0.513172896;0.912691587
9.4;-1.737218765;-0.528160769;0.904827052
9.41;-1.712940983;-0.542955122;0.896641037
9.42;-1.688435614;-0.557553348;0.888136449
9.43;-1.663705832;-0.571952875;0.87931631
9.44;-1.638754846;-0.586151164;0.870183755
9.45;-1.6135859;-0.600145717;0.860742027
9.46;-1.588202267;-0.613934067;0.850994482
9.47;-1.562607256;-0.627513789;0.840944582
9.48;-1.536804205;-0.640882492;0.830595899
9.49;-1.510796486;-0.654037825;0.819952109
9.5;-1.484587499;-0.666977472;0.809016994
9.51;-1.458180676;-0.67969916;0.79779444
9.52;-1.43157948;-0.692200651;0.786288432
9.53;-1.4047874;-0.704479747;0.77450306
9.54;-1.377807956;-0.716534291;0.762442511
9.55;-1.350644696;-0.728362165;0.75011107
9.56;-1.323301195;-0.739961292;0.737513117
9.57;-1.295781057;-0.751329634;0.72465313
9.58;-1.26808791;-0.762465196;0.711535677
9.59;-1.240225409;-0.773366022;0.698165419
9.6;-1.212197235;-0.784030199;0.684547106
9.61;-1.184007095;-0.794455856;0.670685577
9.62;-1.155658718;-0.804641165;0.656585756
9.63;-1.127155859;-0.814584337;0.642252653
9.64;-1.098502294;-0.82428363;0.627691361
9.65;-1.069701825;-0.833737343;0.612907054
9.66;-1.040758272;-0.842943818;0.597904983
9.67;-1.01167548;-0.851901441;0.58269048
9.68;-0.982457314;-0.860608642;0.567268949
9.69;-0.953107659;-0.869063896;0.551645871
9.7;-0.92363042;-0.877265721;0.535826795
9.71;-0.894029521;-0.88521268;0.519817343
9.72;-0.864308905;-0.892903381;0.503623202
9.73;-0.834472534;-0.900336477;0.487250126
9.74;-0.804524385;-0.907510666;0.470703932
9.75;-0.774468454;-0.914424692;0.4539905
9.76;-0.744308752;-0.921077345;0.437115767
9.77;-0.714049307;-0.927467459;0.420085728
9.78;-0.683694162;-0.933593917;0.402906436
9.79;-0.653247372;-0.939455647;0.385583992
9.8;-0.622713008;-0.945051621;0.368124553
9.81;-0.592095154;-0.950380861;0.35053432
9.82;-0.561397907;-0.955442435;0.332819545
9.83;-0.530625374;-0.960235457;0.31498652
9.84;-0.499781676;-0.964759088;0.297041582
9.85;-0.468870942;-0.969012537;0.278991106
9.86;-0.437897315;-0.97299506;0.260841506
9.87;-0.406864942;-0.97670596;0.242599231
9.88;-0.375777984;-0.980144589;0.224270761
9.89;-0.344640607;-0.983310345;0.205862609
9.9;-0.313456987;-0.986202674;0.187381315
9.91;-0.282231304;-0.988821071;0.168833445
9.92;-0.250967748;-0.991165077;0.150225589
9.93;-0.219670511;-0.993234284;0.131564359
9.94;-0.188343794;-0.995028328;0.112856385
9.95;-0.156991798;-0.996546896;0.094108313
9.96;-0.125618732;-0.997789724;0.075326806
9.97;-0.094228805;-0.998756593;0.056518534
9.98;-0.062826231;-0.999447334;0.037690183
9.99;-0.031415224;-0.999861828;0.01884844
10;-1.22465E-15;-1;7.34788E-16
